"year","month","CO2","ts","time"
1958,11,313.33,1958.88,"1958-11-15 00:00:00"
1958,12,314.67,1958.96,"1958-12-15 00:00:00"
1958,3,315.7,1958.21,"1958-3-15 00:00:00"
1958,4,317.45,1958.29,"1958-4-15 00:00:00"
1958,5,317.51,1958.38,"1958-5-15 00:00:00"
1958,7,315.86,1958.54,"1958-7-15 00:00:00"
1958,8,314.93,1958.62,"1958-8-15 00:00:00"
1958,9,313.21,1958.71,"1958-9-15 00:00:00"
1959,1,315.58,1959.04,"1959-1-15 00:00:00"
1959,10,313.33,1959.79,"1959-10-15 00:00:00"
1959,11,314.81,1959.88,"1959-11-15 00:00:00"
1959,12,315.58,1959.96,"1959-12-15 00:00:00"
1959,2,316.48,1959.12,"1959-2-15 00:00:00"
1959,3,316.65,1959.21,"1959-3-15 00:00:00"
1959,4,317.72,1959.29,"1959-4-15 00:00:00"
1959,5,318.29,1959.38,"1959-5-15 00:00:00"
1959,6,318.15,1959.46,"1959-6-15 00:00:00"
1959,7,316.54,1959.54,"1959-7-15 00:00:00"
1959,8,314.8,1959.62,"1959-8-15 00:00:00"
1959,9,313.84,1959.71,"1959-9-15 00:00:00"
1960,1,316.43,1960.04,"1960-1-15 00:00:00"
1960,10,313.83,1960.79,"1960-10-15 00:00:00"
1960,11,315,1960.88,"1960-11-15 00:00:00"
1960,12,316.19,1960.96,"1960-12-15 00:00:00"
1960,2,316.98,1960.12,"1960-2-15 00:00:00"
1960,3,317.58,1960.21,"1960-3-15 00:00:00"
1960,4,319.03,1960.29,"1960-4-15 00:00:00"
1960,5,320.04,1960.38,"1960-5-15 00:00:00"
1960,6,319.59,1960.46,"1960-6-15 00:00:00"
1960,7,318.18,1960.54,"1960-7-15 00:00:00"
1960,8,315.9,1960.62,"1960-8-15 00:00:00"
1960,9,314.17,1960.71,"1960-9-15 00:00:00"
1961,1,316.89,1961.04,"1961-1-15 00:00:00"
1961,10,315.31,1961.79,"1961-10-15 00:00:00"
1961,11,316.1,1961.88,"1961-11-15 00:00:00"
1961,12,317.01,1961.96,"1961-12-15 00:00:00"
1961,2,317.7,1961.12,"1961-2-15 00:00:00"
1961,3,318.54,1961.21,"1961-3-15 00:00:00"
1961,4,319.48,1961.29,"1961-4-15 00:00:00"
1961,5,320.58,1961.38,"1961-5-15 00:00:00"
1961,6,319.77,1961.46,"1961-6-15 00:00:00"
1961,7,318.57,1961.54,"1961-7-15 00:00:00"
1961,8,316.79,1961.62,"1961-8-15 00:00:00"
1961,9,314.99,1961.71,"1961-9-15 00:00:00"
1962,1,317.94,1962.04,"1962-1-15 00:00:00"
1962,10,315.42,1962.79,"1962-10-15 00:00:00"
1962,11,316.69,1962.88,"1962-11-15 00:00:00"
1962,12,317.7,1962.96,"1962-12-15 00:00:00"
1962,2,318.55,1962.12,"1962-2-15 00:00:00"
1962,3,319.68,1962.21,"1962-3-15 00:00:00"
1962,4,320.57,1962.29,"1962-4-15 00:00:00"
1962,5,321.02,1962.38,"1962-5-15 00:00:00"
1962,6,320.62,1962.46,"1962-6-15 00:00:00"
1962,7,319.61,1962.54,"1962-7-15 00:00:00"
1962,8,317.4,1962.62,"1962-8-15 00:00:00"
1962,9,316.25,1962.71,"1962-9-15 00:00:00"
1963,1,318.74,1963.04,"1963-1-15 00:00:00"
1963,10,315.99,1963.79,"1963-10-15 00:00:00"
